type,center,touches,first_date,last_date,score,score_final,distance_pct
support,5397.88,1,2017-10-25,2017-10-25,10,13,91.68017906200166
resistance,6194.88,1,2017-10-21,2017-10-21,10,13,90.45175284882451
resistance,4413.02,1,2018-11-29,2018-11-29,10,13,93.19815627694474
support,3585.06,1,2018-11-25,2018-11-25,10,13,94.47430153097505
support,5358.38,1,2018-11-15,2018-11-15,10,13,91.74106091321934
resistance,6965.06,1,2018-10-15,2018-10-15,10,13,89.26466464196781
support,6236.47,1,2018-10-12,2018-10-12,10,13,90.38764965408669
resistance,6675.06,1,2018-10-08,2018-10-08,10,13,89.71164532179388
support,6381.86,1,2018-09-25,2018-09-25,10,13,90.16355820222492
resistance,7388.43,1,2018-09-05,2018-09-05,10,13,88.61211908880243
support,5971.05,1,2018-08-14,2018-08-14,10,13,90.79674486801576
resistance,8424.27,1,2018-07-24,2018-07-24,10,13,87.01556575297128
support,7262.41,1,2018-07-21,2018-07-21,10,13,88.80635531387718
support,6136.42,1,2018-07-12,2018-07-12,10,13,90.54185798862669
resistance,13184.57,1,2020-10-21,2020-10-21,10,13,79.67845495926088
resistance,8562.41,1,2018-05-20,2018-05-20,10,13,86.80264881810517
support,7974.82,1,2018-05-18,2018-05-18,10,13,87.70830874106723
support,8223.5,1,2018-05-12,2018-05-12,10,13,87.32501510155294
support,3733.75,1,2019-03-04,2019-03-04,10,13,94.24512374723942
resistance,3907.8,1,2019-03-01,2019-03-01,10,13,93.97685827370933
support,3787.06,1,2019-02-27,2019-02-27,10,13,94.16295636778587
resistance,4210.64,1,2019-02-24,2019-02-24,10,13,93.51008713895578
resistance,4010.88,1,2019-02-19,2019-02-19,10,13,93.81797976172149
support,3607.7,1,2019-02-14,2019-02-14,10,13,94.43940621169484
resistance,3695.61,1,2019-02-08,2019-02-08,10,13,94.30390941319999
resistance,3523.29,1,2019-02-02,2019-02-02,10,13,94.569508415778
resistance,3654.93,1,2019-01-26,2019-01-26,10,13,94.36661001339075
resistance,3758.53,1,2019-01-19,2019-01-19,10,13,94.20693001880461
resistance,3727.84,1,2019-01-14,2019-01-14,10,13,94.25423290523173
support,3707.23,1,2019-01-01,2019-01-01,10,13,94.28599935975316
support,7090.68,1,2018-05-29,2018-05-29,10,13,89.07104494196867
support,98962.06,1,2025-11-04,2025-11-04,10,13,52.53147881306158
resistance,107428.26,1,2025-11-11,2025-11-11,10,13,65.58054030114239
resistance,94060.77,1,2025-12-03,2025-12-03,10,13,44.97705834332127
support,1855.83,1,2017-05-27,2017-05-27,10,13,97.13958567227033
resistance,5852.48,1,2017-10-15,2017-10-15,10,13,90.97949831355707
support,4164.05,1,2017-10-05,2017-10-05,10,13,93.58189689713888
support,2946.62,1,2017-09-15,2017-09-15,10,13,95.45833720417558
resistance,4344.65,1,2017-09-12,2017-09-12,10,13,93.30353582549546
resistance,4661.0,1,2017-09-08,2017-09-08,10,13,92.8159415563128
resistance,4975.04,1,2017-09-02,2017-09-02,10,13,92.33190771944183
support,4224.64,1,2017-08-28,2017-08-28,10,13,93.488508761309
resistance,4455.7,1,2017-08-25,2017-08-25,10,13,93.13237305137588
support,3674.58,1,2017-08-22,2017-08-22,10,13,94.33632321905081
support,2450.8,1,2017-07-26,2017-07-26,10,13,96.22255086166302
support,1843.03,1,2017-07-16,2017-07-16,10,13,97.15931447469023
resistance,11517.4,1,2017-11-29,2017-11-29,10,13,82.24808523507336
support,2332.99,1,2017-06-27,2017-06-27,10,13,96.40413290956064
support,2212.96,1,2017-06-15,2017-06-15,10,13,96.58913667162797
support,5151.44,1,2017-10-18,2017-10-18,10,13,92.06002016109245
support,8891.05,1,2018-05-01,2018-05-01,10,13,86.296111815974
resistance,9745.32,1,2018-04-25,2018-04-25,10,13,84.97941462509465
support,6575.0,1,2018-04-06,2018-04-06,10,13,89.86586906946076
resistance,9177.37,1,2018-03-21,2018-03-21,10,13,85.85480316684367
support,6048.26,1,2018-02-06,2018-02-06,10,13,90.6777401152938
support,10129.7,1,2018-01-23,2018-01-23,10,13,84.38696485367554
support,13105.9,1,2018-01-11,2018-01-11,10,13,79.79971002850887
resistance,17712.4,1,2018-01-06,2018-01-06,10,13,72.69965312637517
support,12350.1,1,2017-12-30,2017-12-30,10,13,80.96463415889694
support,11833.0,1,2017-12-22,2017-12-22,10,13,81.76164695040748
resistance,20089.0,1,2017-12-17,2017-12-17,10,13,69.03656938956611
support,13226.6,1,2017-12-10,2017-12-10,10,13,79.61367358693988
support,2394.84,1,2017-07-02,2017-07-02,10,13,96.30880271974259
support,9980.78,1,2019-09-11,2019-09-11,10,13,84.61649713932967
resistance,10512.33,1,2019-08-26,2019-08-26,10,13,83.79721237946227
support,9675.32,1,2019-08-15,2019-08-15,10,13,85.08730651332853
resistance,12359.06,1,2020-08-17,2020-08-17,10,13,80.950823997203
resistance,9309.75,1,2020-07-01,2020-07-01,10,13,85.65076419306651
resistance,9680.37,1,2020-06-24,2020-06-24,10,13,85.07952288424879
resistance,9579.43,1,2020-06-16,2020-06-16,10,13,85.23510298708206
