type,center,touches,first_date,last_date,score,score_final,distance_pct
resistance,4210.64,1,2019-02-24,2019-02-24,10,13,94.09611136287481
support,3787.06,1,2019-02-27,2019-02-27,10,13,94.69002799999255
resistance,3907.8,1,2019-03-01,2019-03-01,10,13,94.52073413634082
support,3733.75,1,2019-03-04,2019-03-04,10,13,94.76477585382122
resistance,3987.24,1,2019-03-09,2019-03-09,10,13,94.40934847683698
support,3863.56,1,2019-03-12,2019-03-12,10,13,94.58276461942806
support,3934.03,1,2019-03-25,2019-03-25,10,13,94.4839561170963
resistance,5307.0,1,2019-04-03,2019-04-03,10,13,92.55886587378083
resistance,5421.65,1,2019-04-10,2019-04-10,10,13,92.39811101650346
support,4955.85,1,2019-04-12,2019-04-12,10,13,93.05122582260726
resistance,5642.04,1,2019-04-24,2019-04-24,10,13,92.08909433097918
support,5177.37,1,2019-04-26,2019-04-26,10,13,92.74062472374915
support,7038.12,1,2019-05-17,2019-05-17,10,13,90.13160073178338
resistance,9008.31,1,2019-05-30,2019-05-30,10,13,87.36912700950418
support,8172.55,1,2019-05-31,2019-05-31,10,13,88.54097593683204
resistance,13796.49,1,2019-06-26,2019-06-26,10,13,80.65544892386633
support,10491.85,1,2019-06-27,2019-06-27,10,13,85.28900262254146
support,9737.88,1,2019-07-02,2019-07-02,10,13,86.3461708714854
resistance,11048.66,1,2019-07-20,2019-07-20,10,13,84.50827944695824
resistance,12273.82,1,2019-08-06,2019-08-06,10,13,82.79043888052172
support,9675.32,1,2019-08-15,2019-08-15,10,13,86.43388848048036
resistance,10512.33,1,2019-08-26,2019-08-26,10,13,85.26028688353543
support,9980.78,1,2019-09-11,2019-09-11,10,13,86.00559211149695
support,7830.76,1,2019-09-30,2019-09-30,10,13,89.02021189556586
resistance,8497.69,1,2019-10-01,2019-10-01,10,13,88.08508553739753
resistance,8721.78,1,2019-10-11,2019-10-11,10,13,87.77088094980672
support,7446.99,1,2019-10-24,2019-10-24,10,13,89.55830951071928
resistance,10021.74,1,2019-10-26,2019-10-26,10,13,85.9481606334849
support,6617.17,1,2019-11-25,2019-11-25,10,13,90.72182975202682
resistance,7836.1,1,2019-11-30,2019-11-30,10,13,89.01272449096176
resistance,7656.18,1,2019-12-23,2019-12-23,10,13,89.2649967449639
support,6915.0,1,2020-01-03,2020-01-03,10,13,90.304231678386
support,7726.77,1,2020-01-10,2020-01-10,10,13,89.16601998634889
support,8266.84,1,2020-01-24,2020-01-24,10,13,88.40876856227744
resistance,10457.63,1,2020-02-13,2020-02-13,10,13,85.33698370597828
support,9507.64,1,2020-02-17,2020-02-17,10,13,86.66899859359218
support,4106.98,1,2020-03-13,2020-03-13,10,13,94.24145674887893
resistance,6844.26,1,2020-03-20,2020-03-20,10,13,90.40341875735504
support,5785.0,1,2020-03-23,2020-03-23,10,13,91.88864501221447
support,5903.23,1,2020-03-30,2020-03-30,10,13,91.72287050915382
resistance,7088.25,1,2020-04-02,2020-04-02,10,13,90.06131166946054
resistance,7427.94,1,2020-04-07,2020-04-07,10,13,89.58502019568337
